"year","name","count"
"1920","Adam",NA
"1921","Adam",NA
"1922","Adam",NA
"1923","Adam",NA
"1924","Adam",NA
"1925","Adam",NA
"1926","Adam",NA
"1927","Adam",NA
"1928","Adam",NA
"1929","Adam",NA
"1930","Adam",NA
"1931","Adam",NA
"1932","Adam",NA
"1933","Adam",NA
"1934","Adam",NA
"1935","Adam",NA
"1936","Adam",NA
"1937","Adam",NA
"1938","Adam",NA
"1939","Adam",NA
"1940","Adam",NA
"1941","Adam",NA
"1942","Adam",NA
"1943","Adam",NA
"1944","Adam",NA
"1945","Adam",NA
"1946","Adam",NA
"1947","Adam",10
"1948","Adam",11
"1949","Adam",NA
"1950","Adam",NA
"1951","Adam",18
"1952","Adam",12
"1953","Adam",12
"1954","Adam",13
"1955","Adam",12
"1956","Adam",15
"1957","Adam",14
"1958","Adam",13
"1959","Adam",21
"1960","Adam",22
"1961","Adam",15
"1962","Adam",28
"1963","Adam",32
"1964","Adam",40
"1965","Adam",33
"1966","Adam",52
"1967","Adam",64
"1968","Adam",71
"1969","Adam",75
"1970","Adam",95
"1971","Adam",91
"1972","Adam",95
"1973","Adam",99
"1974","Adam",102
"1975","Adam",125
"1976","Adam",105
"1977","Adam",117
"1978","Adam",118
"1979","Adam",127
"1980","Adam",171
"1981","Adam",143
"1982","Adam",155
"1983","Adam",183
"1984","Adam",219
"1985","Adam",263
"1986","Adam",313
"1987","Adam",339
"1988","Adam",486
"1989","Adam",618
"1990","Adam",715
"1991","Adam",801
"1992","Adam",879
"1993","Adam",833
"1994","Adam",715
"1995","Adam",662
"1996","Adam",615
"1997","Adam",631
"1998","Adam",667
"1999","Adam",729
"2000","Adam",809
"2001","Adam",731
"2002","Adam",670
"2003","Adam",660
"2004","Adam",623
"2005","Adam",625
"2006","Adam",589
"2007","Adam",559
"2008","Adam",522
"2009","Adam",563
"2010","Adam",502
"2011","Adam",514
"2012","Adam",497
"2013","Adam",512
"2014","Adam",530
"2015","Adam",621
"2016","Adam",647
"2017","Adam",646
"2018","Adam",670
"2019","Adam",593
"1920","Albin",NA
"1921","Albin",NA
"1922","Albin",NA
"1923","Albin",NA
"1924","Albin",NA
"1925","Albin",NA
"1926","Albin",NA
"1927","Albin",NA
"1928","Albin",NA
"1929","Albin",NA
"1930","Albin",NA
"1931","Albin",NA
"1932","Albin",NA
"1933","Albin",NA
"1934","Albin",NA
"1935","Albin",NA
"1936","Albin",NA
"1937","Albin",NA
"1938","Albin",NA
"1939","Albin",NA
"1940","Albin",NA
"1941","Albin",NA
"1942","Albin",NA
"1943","Albin",NA
"1944","Albin",NA
"1945","Albin",NA
"1946","Albin",NA
"1947","Albin",NA
"1948","Albin",NA
"1949","Albin",NA
"1950","Albin",NA
"1951","Albin",NA
"1952","Albin",NA
"1953","Albin",NA
"1954","Albin",NA
"1955","Albin",NA
"1956","Albin",NA
"1957","Albin",NA
"1958","Albin",NA
"1959","Albin",NA
"1960","Albin",NA
"1961","Albin",NA
"1962","Albin",NA
"1963","Albin",NA
"1964","Albin",NA
"1965","Albin",NA
"1966","Albin",NA
"1967","Albin",NA
"1968","Albin",NA
"1969","Albin",NA
"1970","Albin",NA
"1971","Albin",NA
"1972","Albin",10
"1973","Albin",NA
"1974","Albin",NA
"1975","Albin",15
"1976","Albin",21
"1977","Albin",16
"1978","Albin",15
"1979","Albin",20
"1980","Albin",17
"1981","Albin",19
"1982","Albin",40
"1983","Albin",43
"1984","Albin",44
"1985","Albin",53
"1986","Albin",70
"1987","Albin",74
"1988","Albin",99
"1989","Albin",123
"1990","Albin",194
"1991","Albin",202
"1992","Albin",291
"1993","Albin",310
"1994","Albin",401
"1995","Albin",436
"1996","Albin",432
"1997","Albin",516
"1998","Albin",680
"1999","Albin",677
"2000","Albin",739
"2001","Albin",875
"2002","Albin",892
"2003","Albin",886
"2004","Albin",785
"2005","Albin",719
"2006","Albin",741
"2007","Albin",698
"2008","Albin",638
"2009","Albin",595
"2010","Albin",571
"2011","Albin",531
"2012","Albin",480
"2013","Albin",458
"2014","Albin",438
"2015","Albin",410
"2016","Albin",383
"2017","Albin",336
"2018","Albin",337
"2019","Albin",313
"1920","Alexander",NA
"1921","Alexander",NA
"1922","Alexander",NA
"1923","Alexander",NA
"1924","Alexander",NA
"1925","Alexander",NA
"1926","Alexander",NA
"1927","Alexander",NA
"1928","Alexander",NA
"1929","Alexander",NA
"1930","Alexander",NA
"1931","Alexander",NA
"1932","Alexander",NA
"1933","Alexander",NA
"1934","Alexander",NA
"1935","Alexander",NA
"1936","Alexander",NA
"1937","Alexander",NA
"1938","Alexander",11
"1939","Alexander",NA
"1940","Alexander",NA
"1941","Alexander",NA
"1942","Alexander",NA
"1943","Alexander",11
"1944","Alexander",14
"1945","Alexander",NA
"1946","Alexander",18
"1947","Alexander",20
"1948","Alexander",20
"1949","Alexander",12
"1950","Alexander",19
"1951","Alexander",15
"1952","Alexander",18
"1953","Alexander",14
"1954","Alexander",15
"1955","Alexander",30
"1956","Alexander",31
"1957","Alexander",32
"1958","Alexander",36
"1959","Alexander",23
"1960","Alexander",29
"1961","Alexander",30
"1962","Alexander",39
"1963","Alexander",35
"1964","Alexander",40
"1965","Alexander",35
"1966","Alexander",47
"1967","Alexander",67
"1968","Alexander",60
"1969","Alexander",91
"1970","Alexander",102
"1971","Alexander",156
"1972","Alexander",144
"1973","Alexander",141
"1974","Alexander",182
"1975","Alexander",181
"1976","Alexander",193
"1977","Alexander",183
"1978","Alexander",283
"1979","Alexander",265
"1980","Alexander",291
"1981","Alexander",317
"1982","Alexander",360
"1983","Alexander",497
"1984","Alexander",588
"1985","Alexander",868
"1986","Alexander",898
"1987","Alexander",1046
"1988","Alexander",1197
"1989","Alexander",1305
"1990","Alexander",1712
"1991","Alexander",1580
"1992","Alexander",1576
"1993","Alexander",1428
"1994","Alexander",1381
"1995","Alexander",1256
"1996","Alexander",1157
"1997","Alexander",1145
"1998","Alexander",1103
"1999","Alexander",1053
"2000","Alexander",1008
"2001","Alexander",1015
"2002","Alexander",1098
"2003","Alexander",1013
"2004","Alexander",949
"2005","Alexander",950
"2006","Alexander",884
"2007","Alexander",791
"2008","Alexander",878
"2009","Alexander",871
"2010","Alexander",886
"2011","Alexander",750
"2012","Alexander",742
"2013","Alexander",724
"2014","Alexander",620
"2015","Alexander",635
"2016","Alexander",700
"2017","Alexander",707
"2018","Alexander",637
"2019","Alexander",523
"1920","Ali",NA
"1921","Ali",NA
"1922","Ali",NA
"1923","Ali",NA
"1924","Ali",NA
"1925","Ali",NA
"1926","Ali",NA
"1927","Ali",NA
"1928","Ali",NA
"1929","Ali",NA
"1930","Ali",NA
"1931","Ali",NA
"1932","Ali",NA
"1933","Ali",NA
"1934","Ali",NA
"1935","Ali",11
"1936","Ali",11
"1937","Ali",NA
"1938","Ali",12
"1939","Ali",12
"1940","Ali",14
"1941","Ali",13
"1942","Ali",14
"1943","Ali",23
"1944","Ali",21
"1945","Ali",34
"1946","Ali",37
"1947","Ali",44
"1948","Ali",42
"1949","Ali",55
"1950","Ali",75
"1951","Ali",65
"1952","Ali",64
"1953","Ali",68
"1954","Ali",78
"1955","Ali",91
"1956","Ali",97
"1957","Ali",102
